"fuehrung_id";"status";"fuehrung_titel";"leitfrage";"kurzbeschreibung";"themenbereich";"zeitraum";"weiterlesen";"station_nr";"station_titel";"station_zeitraum";"beleg";"bild_text";"text";"unsicherheit_hinweis";"vertiefung";"quellen_intern"
"buergerspital-heringe";"entwurf";"Eine Tonne Heringe";"Wie wird aus Häusern und Weingärten eine Mahlzeit für die Kranken im Spital?";"1378 legt eine Urkunde fest, dass das Kremser Bürgerspital jedes Jahr eine Tonne Heringe kaufen soll. Die Führung zeigt, wie Schenkungen, Weingärten und Vermächtnisse das Spital versorgten und warum wir vom Geld mehr wissen als vom Essen.";"Geschichten aus Krems und Stein";"1344–1378";"";"1";"Eine Tonne Heringe";"1378";"urkunde:StaAKr-0050";"";"Jedes Jahr am Aschermittwoch soll der Kremser Spitalmeister eine Tonne Heringe kaufen. Der Spitalmeister verwaltet das Bürgerspital der Stadt. Die Heringe sind für die Kranken bestimmt, die dort leben. So legt es eine Urkunde von 1378 fest.|Hinter dem Fisch stehen ein verstorbener Bürger, seine Erben und Einnahmen aus Gebäuden in Krems und Stein. Was haben Häuser mit Heringen zu tun? Um das zu verstehen, lernen wir zuerst das Bürgerspital kennen.";"Die Urkunde nennt die Empfänger „Siechen“, also Kranke und Gebrechliche. Eine andere Regestfassung spricht von „armen Leuten“.";"#visualisierungen/urkunden/zeitachse";"Kühnel, StaAKr-0050 (Aschermittwoch, Tonne Häringe, den Siechen). Abweichend „den armen Leuten“: Wilhelm, Archivberichte Krems, Regest 820."
"buergerspital-heringe";"";"";"";"";"";"";"";"2";"Ein Haus für Arme und Kranke";"";"";"";"Schon um 1212 wird ein „Spital der Armen“ in Krems erwähnt. Es war kein Krankenhaus, wie wir es heute kennen. Hier lebten Menschen, die alt, arm oder krank waren und sich nicht mehr selbst versorgen konnten.|Die Stadt war für das Spital verantwortlich. In geistlichen Fragen entschied sie gemeinsam mit dem Pfarrer. Zum Spital gehörte eine Kapelle, in der ein Priester Gottesdienste hielt.|Nahrung, Betreuung und das Gebäude kosteten Geld. Woher kam es?";"Wann das Spital genau gegründet wurde, ist nicht sicher. Die frühe Erwähnung stammt aus einer Urkunde, die nicht im Kremser Stadtarchiv liegt.";"";"Kerschbaumer, Geschichte der Stadt Krems, Abschnitt „Die Spitalkirche“ (Nennung „hospitale Pauperum“ in der Lilienfelder Bestätigungsurkunde 1212, Priester für Arme und Kranke, Stadt als Patronin). Frühwirth, Soziales Krems, S. 202–203; Ritter, Entwicklung, S. 82–84 (Angaben laut NotebookLM, am PDF zu prüfen)."
"buergerspital-heringe";"";"";"";"";"";"";"";"3";"Wie ein Spital zu Geld kommt";"";"";"";"Das Spital lebte von Geschenken und Vermächtnissen. Menschen aus Krems und Stein überließen ihm Häuser, Höfe und vor allem Weingärten. Manche taten das zu Lebzeiten, andere nach ihrem Tod.|Das Spital konnte diese Güter selbst bewirtschaften. Oft gab es sie aber gegen eine jährliche Zahlung an andere weiter. Aus einem Weingarten wurde so jedes Jahr ein fester Betrag.|Die folgenden Urkunden zeigen, wie das funktionierte. Sie erzählen von Menschen, die dem Spital etwas gaben, und von dem Mann, der alles verwaltete.";"";"";"Zusammenfassung der Stationen 4 bis 8 (Kühnel, StaAKr-0018, -0027, -0031, -0049, -0050)."
"buergerspital-heringe";"";"";"";"";"";"";"";"4";"Heinrich und Berta schenken und bleiben";"1344";"urkunde:StaAKr-0018";"";"1344 schenken Heinrich der Mager und seine Frau Berta dem Spital ihr Haus beim Brücklein an der Krems und zwei Joch Weingärten. Ein Joch ist ein altes Flächenmaß.|Die beiden leben bereits vom Spital. Sie beziehen eine Pfründe, also eine vereinbarte, lebenslange Versorgung.|Der Rat erlaubt ihnen, die geschenkten Güter weiter zu nutzen und so ihre Versorgung zu verbessern. Das Spital erhält den Besitz, Heinrich und Berta behalten den Nutzen.";"Eine andere Regestfassung nennt Heinrichs Frau „Perehta“. Das ist vermutlich eine ältere Schreibweise desselben Namens. Regesten geben Namen oft in moderner Form wieder.";"#visualisierungen/urkunden/regestenKachelraster";"Kühnel, StaAKr-0018 (Berta, Haus bei dem Brücklein, zwei Joch Weingärten, Nutzung zur Verbesserung der Pfründe). „Perehta“: Wilhelm, Archivberichte Krems, Regest 792 (dort ohne die Passage zur Pfründe)."
"buergerspital-heringe";"";"";"";"";"";"";"";"5";"Ein Weingarten auf Lebenszeit";"1350";"urkunde:StaAKr-0027";"";"1350 vergibt Heinrich Krautwurm drei Viertel Weingärten des Spitals an Rapot von Rohrndorf und seine Tochter Margaretha. Krautwurm ist oberster Spitalmeister und zugleich ein Beamter des Herzogs.|Die beiden dürfen den Weingarten bis an ihr Lebensende nutzen. Dafür zahlen sie jedes Jahr am Martinstag, dem 11. November, drei Schilling Pfennig an das Spital. Diese Form der Überlassung heißt Burgrecht.|Das Spital muss den Weingarten nicht selbst bearbeiten und bekommt trotzdem sichere Einnahmen.";"";"#visualisierungen/urkunden/regestenKachelraster";"Kühnel, StaAKr-0027 (herzoglicher Schlüssler, oberster Spitalmeister, drei Viertel Weingärten in der Olerinn, auf Lebenszeit zu Burgrecht, 3 Schilling zu St. Martin). Wilhelm, Regest 799, nennt keine Lebenszeitbegrenzung."
"buergerspital-heringe";"";"";"";"";"";"";"";"6";"Der Spitalmeister nimmt ein Erbe entgegen";"1356";"urkunde:StaAKr-0031";"";"Sechs Jahre später steht Heinrich Krautwurm wieder in einer Urkunde. Ulrich Gundacker hat dem Spital vor seinem Tod einen Hof in Gneixendorf und einen Weingarten auf dem Lintperg vermacht. 1356 bestätigen seine Erben, dass sie diese Güter dem Spitalmeister übergeben haben.|So sah die Arbeit des Spitalmeisters aus. Er nahm Geschenke und Vermächtnisse an, vergab Weingärten und achtete darauf, dass die Zahlungen eingingen.|Das Geld brauchte das Spital nicht nur für Essen und Unterkunft. Auch die Gottesdienste mussten bezahlt werden.";"";"#visualisierungen/urkunden/regestenKachelraster";"Kühnel, StaAKr-0031 (Vermächtnis Ulrich Gundackers, Hof zu Gneixendorf, Weingarten auf dem Lintperg, Übergabe an den obersten Spitalmeister Heinrich Krautwurm). Aufgaben des Spitalmeisters als Deutung aus StaAKr-0027 und -0031."
"buergerspital-heringe";"";"";"";"";"";"";"";"7";"Messen für das Spital";"1377";"urkunde:StaAKr-0049";"";"1377 regeln der Kremser Pfarrer Marchart der Treperger und der Rat beider Städte die Versorgung eines Priesters. Die Güter seiner Pfründe reichen nicht mehr aus, um davon zu leben.|Der Priester übergibt sie deshalb dem Spital. Dafür erhält er jedes Jahr zwölf Pfund Pfennig. Im Gegenzug muss er an drei Tagen in der Woche in der Spitalkapelle die Messe lesen.|Auch der Priester lebt also vom Spital. Und die Menschen im Spital erhalten ihre Gottesdienste.";"Die Urkunde nennt ihn Priester der St. Magdalenenkapelle. Vermutlich ist das die Spitalkapelle, denn die Stadtgeschichte nennt eine Spitalkirche zum heiligen Stephan und zur heiligen Magdalena. Sicher ist das nicht. Eine andere Regestfassung spricht von drei Messen in der Woche statt von drei Tagen.";"#visualisierungen/urkunden/regestenKachelraster";"Kühnel, StaAKr-0049 (Pfarrer Marchart der Treperger, Rat beider Städte, Priester der St. Magdalenenkapelle, 12 Pfund Pfennig, an 3 Tagen der Woche Messe in der Spitalkapelle). Kerschbaumer, Abschnitt „Die Spitalkirche“ (Stephan und Magdalena). „Drei Messen wöchentlich“: Wilhelm, Regest 819."
"buergerspital-heringe";"";"";"";"";"";"";"";"8";"Symons Vermächtnis";"1378";"urkunde:StaAKr-0050";"";"Ein Jahr später geht es um das Erbe Symons von Pyela. Er hat dem Spital jährliche Einnahmen von zwei Pfund Pfennig hinterlassen. Seine Witwe Kathrey und sein Sohn Jans legen fest, woher das Geld kommen soll.|Sechs Schilling zahlt jedes Jahr ein Haus auf dem Neusiedl in Stein. Für die übrigen zehn Schilling bekommt das Spital eine Wechselbank und ein Gewölbe am Hohen Markt. An einer Wechselbank tauschte man Geld, ein Gewölbe war ein Laden oder Lagerraum. Acht Schilling ergeben ein Pfund, zusammen also genau zwei Pfund.";"Die Namen Kathrey und Jans stammen aus einer anderen Regestfassung. Dort heißt es außerdem, die zehn Schilling seien von der Wechselbank und einem „gevell“ zu zahlen. Das Wort könnte auch eine Abgabe bedeuten. Ob das Spital die Räume besaß oder nur Zahlungen daraus erhielt, lässt sich erst am Original klären.";"#visualisierungen/urkunden/regestenKachelraster";"Kühnel, StaAKr-0050 (2 Pfund Renten, 6 Schilling von einem Haus auf dem Neusiedl in Stein, Wechselbank und Gewölbe auf dem Hohen Markt als Eigenbesitz für die 10 Schilling). Namen Kathrey und Jans sowie „wegsselpankch und ainem gevell“: Wilhelm, Regest 820. Umrechnung 1 Pfund = 8 Schilling."
"buergerspital-heringe";"";"";"";"";"";"";"";"9";"Warum am Aschermittwoch?";"";"bestand:1.1.2.3.1.";"";"Von diesem Geld soll der Spitalmeister jedes Jahr am Aschermittwoch eine Tonne Heringe kaufen. An diesem Tag beginnt die Fastenzeit vor Ostern. Fleisch war dann verboten, Fisch erlaubt.|Die Urkunde schreibt den Kauf vor. Ob die Heringe wirklich jedes Jahr gekauft wurden, sagt sie nicht. Das könnten nur Rechnungen zeigen. Die Jahresrechnungen der Spitalmeister sind im Stadtarchiv erhalten, aber erst ab 1460. Für die ersten achtzig Jahre der Stiftung bleibt die Frage offen.";"Eine andere Quelle nennt Spitalrechnungen erst ab 1600. Der Unterschied ist noch nicht geklärt.";"#bestand/ganttDiagramm";"Kühnel, StaAKr-0050 (jeden Aschermittwoch eine Tonne Häringe). Bestandsverzeichnis 1.1.2.3.1. Spitalmeisteramtsrechnungen, Laufzeit 1460–1785. Abweichend: Wilhelm, Archivberichte Krems, Bürgerspitalsrechnungen ab 1600 mit Lücken (laut ChatGPT)."
"buergerspital-heringe";"";"";"";"";"";"";"";"10";"Warum wir das wissen";"";"urkunde:StaAKr-0018|urkunde:StaAKr-0050";"";"Hinter einer Tonne Heringe stehen Häuser, Weingärten, eine Wechselbank und viele Menschen. Dass wir davon wissen, liegt an der Art der Dokumente. Besitz und Rechte wurden sorgfältig aufgeschrieben und aufbewahrt, denn man brauchte sie als Beweis. Die Mahlzeiten selbst hinterließen keine Spur. Das Archiv erzählt vom Geld für die Heringe, nicht vom Geschmack des Fisches.";"";"#visualisierungen/urkunden/zeitachse";"Deutungsrahmen: Esch 1985, Überlieferungs-Chance (dauerhafte Aufbewahrung von Rechtstiteln über Besitz, Klassen-Überlieferung institutioneller Archive)."
